# 中考文言文核心词库 - Oboeru专用
# 格式：单词	词性	释义	备注
# 通假字
说	通假字	通“悦”，愉快	《论语》
女	通假字	通“汝”，你	《论语》
知	通假字	通“智”，智慧	《论语》
阙	通假字	通“缺”，空隙、缺口	《三峡》
食	通假字	通“饲”，喂养	《马说》
见	通假字	通“现”，表现	《马说》
有	通假字	通“又”，连接整数零数	《核舟记》
衡	通假字	通“横”，横着	《核舟记》
帖	通假字	通“贴”，粘贴	《木兰诗》
火	通假字	通“伙”，伙伴	《木兰诗》
具	通假字	通“俱”，全、皆	《岳阳楼记》
属	通假字	通“嘱”，嘱托	《岳阳楼记》
# 古今异义
鲜美	古今异义	古义：鲜艳美丽；今义：味道好	《桃花源记》
交通	古今异义	古义：交错相通；今义：运输事业	《桃花源记》
妻子	古今异义	古义：妻子和儿女；今义：配偶	《桃花源记》
绝境	古今异义	古义：隔绝之地；今义：困境	《桃花源记》
无论	古今异义	古义：不要说；今义：不管	《桃花源记》
走	古今异义	古义：跑；今义：行走	《木兰诗》
但	古今异义	古义：只；今义：但是	《木兰诗》
卑鄙	古今异义	古义：身份低微；今义：品质恶劣	《出师表》
痛恨	古今异义	古义：痛心遗憾；今义：深切憎恨	《出师表》
汤	古今异义	古义：热水；今义：食物汤汁	《送东阳马生序》
# 重点虚词
之	虚词	代词/助词/取消句子独立性	中考核心虚词
其	虚词	他/那/其中/大概	高频虚词
而	虚词	顺承/转折/修饰/并列	连词
以	虚词	用/凭借/因为/来	介词/连词
于	虚词	在/到/对/比/从	介词
乃	虚词	于是/就/才/竟然	副词
者	助词	……的人/……的事/表判断	文言助词
也	语气词	表判断/感叹/停顿	文言虚词
# 高频实词
缘	实词	沿着、顺着	《桃花源记》
寻	实词	寻找、随即、不久	一词多义
遂	实词	于是、就、最终	必考实词
俱	实词	全、都	通用实词
名	实词	名字、命名、出名	一词多义
闻	实词	听说、听见	高频实词
道	实词	道路、道义、说、方法	一词多义
顾	实词	回头看、拜访	必考实词
毕	实词	全、完毕	通用实词
旦	实词	早晨、第二天	高频实词
亡	实词	逃跑、灭亡、通“无”	一词多义
固	实词	本来、顽固、巩固	必考实词
胜	实词	尽、胜利、优美的	一词多义
乐	实词	快乐、以……为乐	高频实词
得	实词	得到、能够、领会	必考实词
# 词类活用
异	词类活用	对……感到惊异	《桃花源记》
上	词类活用	长到上面	《陋室铭》
蔓	词类活用	生藤蔓	《爱莲说》
策	词类活用	用马鞭驱赶	《马说》
腰	词类活用	在腰间佩戴	《送东阳马生序》
尽	词类活用	使……竭尽	《马说》
